rank,configuration,ivns_profile,vnd_mode,ivns_time,runs,gap_mean,gap_std,gap_median,gap_q1,gap_q3,gap_min,gap_max,time_mean,time_median
1,efg-medium-best-t0.05,efg-medium,best,0.05,5,466.0240846,26.656579886019536,460.671234,449.053345,462.478485,445.955231,511.962128,0.8796158000000001,0.866015
2,efg-medium-random-t0.05,efg-medium,random,0.05,5,476.19622799999996,21.27408358114423,470.998291,464.027557,495.008606,450.17215,500.774536,0.885016,0.864016
3,baseline-random-t0.05,baseline,random,0.05,5,485.54217520000003,33.74262924049524,486.57489,473.493958,488.812408,442.685028,536.144592,0.645212,0.648011
4,efg-medium-first-t0.05,efg-medium,first,0.05,5,493.7005066,42.593626984522956,486.57489,466.265045,518.846802,444.664368,552.151428,0.8476155999999999,0.809015
5,baseline-first-t0.05,baseline,first,0.05,5,492.0137634000001,44.8743608707274,496.729767,468.416504,516.523193,430.636841,547.762512,0.6904125999999999,0.663012
6,baseline-best-t0.05,baseline,best,0.05,5,519.2254702,31.765671072522697,512.650574,511.187592,540.017212,474.440613,557.83136,0.6624122,0.663013
