dataset,instance,metric,n_pairs,mean_ivns,mean_vns,median_ivns,median_vns,mean_difference_ivns_minus_vns,median_difference_ivns_minus_vns,wins_ivns,wins_vns,ties,statistic,p_value,rank_biserial_positive_favors_ivns,p_value_holm,decision
confirmatory_a,A-n33-k5,gap_percent,30,58.2854253,67.60463946666668,57.034791999999996,66.79274,-9.31921416666667,-8.925870499999998,19,10,1,75.0,0.0020603228816836665,0.6551724137931034,0.0020603228816836665,significativo
confirmatory_a,A-n33-k5,elapsed_time_seconds,30,0.36700146666666655,0.38210130000000003,0.30950049999999996,0.3750015,-0.01509983333333332,-0.06700049999999995,22,8,0,154.0,0.10943205840885639,0.33763440860215055,0.10943205840885639,no_significativo
confirmatory_a,A-n65-k9,gap_percent,30,129.7614979666667,157.0954004666667,130.1959155,158.6882475,-27.3339025,-26.4480395,30,0,0,0.0,1.862645149230957e-09,1.0,5.587935447692871e-09,significativo
confirmatory_a,A-n65-k9,elapsed_time_seconds,30,1.2166046000000001,0.39343466666666665,0.999504,0.390001,0.8231699333333332,0.6245025,1,29,0,3.0,9.313225746154785e-09,-0.9870967741935484,1.862645149230957e-08,significativo
confirmatory_a,A-n80-k10,gap_percent,30,113.01191226666667,138.2359614,111.5995485,136.5002825,-25.22404913333333,-28.020424000000006,30,0,0,0.0,1.862645149230957e-09,1.0,5.587935447692871e-09,significativo
confirmatory_a,A-n80-k10,elapsed_time_seconds,30,3.245378466666667,0.7173361333333333,3.465013,0.7825025,2.528042333333333,2.8485104999999997,0,30,0,0.0,1.862645149230957e-09,-1.0,5.587935447692871e-09,significativo
