rank,configuration,ivns_profile,vnd_mode,ivns_time,runs,gap_mean,gap_std,gap_median,gap_q1,gap_q3,gap_min,gap_max,time_mean,time_median
1,efg-medium-best-t0.05,efg-medium,best,0.05,5,466.0240846,26.656579886019536,460.671234,449.053345,462.478485,445.955231,511.962128,0.8796158000000001,0.866015
2,efg-high-best-t0.05,efg-high,best,0.05,5,477.108429,26.440910388875142,467.039581,461.962128,484.767639,452.323578,519.449219,0.812803,0.807002
3,efg-medium-random-t0.05,efg-medium,random,0.05,5,476.19622799999996,21.27408358114423,470.998291,464.027557,495.008606,450.17215,500.774536,0.885016,0.864016
4,efg-high-random-t0.05,efg-high,random,0.05,5,483.32185680000003,21.65818080801249,484.079163,468.502563,487.005188,460.326996,516.695374,0.776203,0.789003
5,baseline-random-t0.05,baseline,random,0.05,5,485.54217520000003,33.74262924049524,486.57489,473.493958,488.812408,442.685028,536.144592,0.645212,0.648011
6,efg-medium-first-t0.05,efg-medium,first,0.05,5,493.7005066,42.593626984522956,486.57489,466.265045,518.846802,444.664368,552.151428,0.8476155999999999,0.809015
7,efg-high-first-t0.05,efg-high,first,0.05,5,489.77625120000005,15.491186569292262,493.975922,476.247833,497.074036,472.030975,509.55249,0.834403,0.796003
8,baseline-first-t0.05,baseline,first,0.05,5,492.0137634000001,44.8743608707274,496.729767,468.416504,516.523193,430.636841,547.762512,0.6904125999999999,0.663012
9,baseline-best-t0.05,baseline,best,0.05,5,519.2254702,31.765671072522697,512.650574,511.187592,540.017212,474.440613,557.83136,0.6624122,0.663013
