rank,ivns_profile,vnd_mode,runs,gap_mean,gap_std,gap_median,gap_min,gap_max,time_mean,time_median,variant
1,baseline,random,90,127.1684700888889,39.70632899009179,141.038002,42.511349,191.908005,0.37132906666666665,0.3865185,baseline-random
2,baseline,best,90,122.25675105555555,43.83223992029787,141.8654175,44.024204,186.626907,0.3616952333333333,0.36901799999999996,baseline-best
3,baseline,first,90,126.8208145,37.358400849240105,142.45182799999998,63.086235,183.560486,0.3790850333333333,0.38551899999999995,baseline-first
4,efg-medium,random,90,161.45314442222224,42.557421520411616,167.5894395,83.812401,242.930145,0.5803724777777778,0.5900274999999999,efg-medium-random
5,efg-medium,first,90,159.62636065555554,39.49598976942986,167.7841495,71.860817,231.771729,0.5941287333333334,0.6100295,efg-medium-first
6,efg-medium,best,90,158.32332477777777,40.280754777379975,168.321045,70.953102,232.793854,0.5737610111111111,0.576028,efg-medium-best
7,efg-high,random,90,173.3997359,38.524114138202904,175.1276165,76.701965,261.499146,0.7454693666666666,0.755538,efg-high-random
8,efg-high,first,90,173.7620065888889,37.16192934670391,179.32501200000002,73.827538,259.454834,0.7448693666666666,0.741036,efg-high-first
9,efg-high,best,90,176.18896296666665,38.09719318947083,179.89025850000002,70.801819,246.252136,0.7607034222222222,0.7610365,efg-high-best
