instance,metric,variant_a,variant_b,median_a,median_b,statistic,p_value,cliffs_delta_positive_favors_a,p_value_holm,decision
A-n33-k5,gap_percent,efg-medium-first,efg-medium-random,115.3555185,107.488659,475.0,0.7171812929479071,-0.05555555555555555,1.0,no_significativo
A-n33-k5,elapsed_time_seconds,baseline-best,baseline-first,0.23601149999999999,0.27151349999999996,287.0,0.0162848089481173,0.3622222222222222,0.1465632805330557,no_significativo
A-n33-k5,elapsed_time_seconds,baseline-best,baseline-random,0.23601149999999999,0.271513,363.0,0.20094263925351663,0.19333333333333333,1.0,no_significativo
A-n33-k5,elapsed_time_seconds,baseline-best,efg-high-best,0.23601149999999999,0.7235339999999999,0.0,3.019859359162157e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-best,efg-high-first,0.23601149999999999,0.7010339999999999,0.0,3.019859359162157e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-best,efg-high-random,0.23601149999999999,0.7125345000000001,0.0,3.0179667984904466e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-best,efg-medium-best,0.23601149999999999,0.520525,2.0,3.6874335905067576e-11,0.9955555555555555,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-best,efg-medium-first,0.23601149999999999,0.561527,2.0,3.6897258539809896e-11,0.9955555555555555,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-best,efg-medium-random,0.23601149999999999,0.5205249999999999,1.0,3.334223847982939e-11,0.9977777777777778,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-first,baseline-random,0.27151349999999996,0.271513,534.0,0.21701043759774064,-0.18666666666666668,1.0,no_significativo
A-n33-k5,elapsed_time_seconds,baseline-first,efg-high-best,0.27151349999999996,0.7235339999999999,0.0,3.019859359162157e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-first,efg-high-first,0.27151349999999996,0.7010339999999999,0.0,3.019859359162157e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-first,efg-high-random,0.27151349999999996,0.7125345000000001,0.0,3.0179667984904466e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-first,efg-medium-best,0.27151349999999996,0.520525,12.0,9.91273325385225e-11,0.9733333333333334,1.8834193182319275e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-first,efg-medium-first,0.27151349999999996,0.561527,8.5,7.029699039235401e-11,0.9811111111111112,1.40593980784708e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-first,efg-medium-random,0.27151349999999996,0.5205249999999999,2.0,3.685142625153619e-11,0.9955555555555555,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-random,efg-high-best,0.271513,0.7235339999999999,0.0,3.0179667984904466e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-random,efg-high-first,0.271513,0.7010339999999999,0.0,3.0179667984904466e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-random,efg-high-random,0.271513,0.7125345000000001,0.0,3.016075319890922e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-random,efg-medium-best,0.271513,0.520525,1.0,3.334223847982939e-11,0.9977777777777778,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-random,efg-medium-first,0.271513,0.561527,1.0,3.336305741544077e-11,0.9977777777777778,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,baseline-random,efg-medium-random,0.271513,0.5205249999999999,0.0,3.0141849228072565e-11,1.0,1.0851065722106123e-09,significativo
A-n33-k5,elapsed_time_seconds,efg-high-best,efg-high-first,0.7235339999999999,0.7010339999999999,499.0,0.47334655725844954,-0.10888888888888888,1.0,no_significativo
A-n33-k5,elapsed_time_seconds,efg-high-best,efg-high-random,0.7235339999999999,0.7125345000000001,506.0,0.41190434135630705,-0.12444444444444444,1.0,no_significativo
A-n33-k5,elapsed_time_seconds,efg-high-best,efg-medium-best,0.7235339999999999,0.520525,865.0,8.886236085350275e-10,-0.9222222222222223,1.5106601345095466e-08,significativo
A-n33-k5,elapsed_time_seconds,efg-high-best,efg-medium-first,0.7235339999999999,0.561527,856.0,2.0337965170597153e-09,-0.9022222222222223,2.64393547217763e-08,significativo
A-n33-k5,elapsed_time_seconds,efg-high-best,efg-medium-random,0.7235339999999999,0.5205249999999999,863.0,1.069044870322371e-09,-0.9177777777777778,1.7104717925157935e-08,significativo
A-n33-k5,elapsed_time_seconds,efg-high-first,efg-high-random,0.7010339999999999,0.7125345000000001,462.5,0.8591800423486523,-0.027777777777777776,1.0,no_significativo
A-n33-k5,elapsed_time_seconds,efg-high-first,efg-medium-best,0.7010339999999999,0.520525,863.0,1.0696115944484287e-09,-0.9177777777777778,1.7104717925157935e-08,significativo
A-n33-k5,elapsed_time_seconds,efg-high-first,efg-medium-first,0.7010339999999999,0.561527,858.0,1.6947244610469585e-09,-0.9066666666666666,2.3726142454657417e-08,significativo
A-n33-k5,elapsed_time_seconds,efg-high-first,efg-medium-random,0.7010339999999999,0.5205249999999999,867.0,7.372318736335186e-10,-0.9266666666666666,1.3270173725403335e-08,significativo
A-n33-k5,elapsed_time_seconds,efg-high-random,efg-medium-best,0.7125345000000001,0.520525,837.0,1.1013112848046761e-08,-0.86,1.3215735417656113e-07,significativo
A-n33-k5,elapsed_time_seconds,efg-high-random,efg-medium-first,0.7125345000000001,0.561527,816.5,6.258630329465999e-08,-0.8144444444444444,6.258630329465999e-07,significativo
A-n33-k5,elapsed_time_seconds,efg-high-random,efg-medium-random,0.7125345000000001,0.5205249999999999,835.0,1.3092866340521193e-08,-0.8555555555555555,1.4402152974573313e-07,significativo
A-n33-k5,elapsed_time_seconds,efg-medium-best,efg-medium-first,0.520525,0.561527,369.0,0.23398241864273817,0.18,1.0,no_significativo
A-n33-k5,elapsed_time_seconds,efg-medium-best,efg-medium-random,0.520525,0.5205249999999999,426.0,0.7282544183245311,0.05333333333333334,1.0,no_significativo
A-n33-k5,elapsed_time_seconds,efg-medium-first,efg-medium-random,0.561527,0.5205249999999999,509.5,0.3830219962081215,-0.1322222222222222,1.0,no_significativo
