instance,ivns_profile,vnd_mode,metric,n,mean,std,median,q1,q3,iqr,min,max
A-n33-k5,baseline,best,gap_percent,30,63.74180546666666,13.11404874930908,64.9016645,52.155823749999996,71.331316,19.175492250000005,44.024204,92.284416
A-n33-k5,baseline,best,elapsed_time_seconds,30,0.24427839999999998,0.062403128014879024,0.23601149999999999,0.19326025000000002,0.27801349999999997,0.08475324999999995,0.156006,0.41402
A-n33-k5,baseline,first,gap_percent,30,77.29702510000001,12.102414156955728,73.676247,67.4356995,84.07715425,16.64145475000001,63.086235,105.748871
A-n33-k5,baseline,first,elapsed_time_seconds,30,0.2901474,0.07165168392159392,0.27151349999999996,0.246512,0.33976625,0.09325424999999998,0.180009,0.432021
A-n33-k5,baseline,random,gap_percent,30,75.45133683333331,11.35586072928712,73.7518925,68.64599025,82.14826175,13.502271500000006,42.511349,99.546143
A-n33-k5,baseline,random,elapsed_time_seconds,30,0.2616793333333334,0.05948185879648565,0.271513,0.21601,0.29876499999999995,0.08275499999999994,0.140007,0.368019
A-n33-k5,efg-high,best,gap_percent,30,137.45335333333335,34.00811514079428,138.729202,127.080177,148.29803850000002,21.217861500000012,70.801819,218.305588
A-n33-k5,efg-high,best,elapsed_time_seconds,30,0.7285352333333335,0.08701777850994444,0.7235339999999999,0.68528375,0.781287,0.09600324999999998,0.509024,0.881043
A-n33-k5,efg-high,first,gap_percent,30,134.4175489,28.60778310778691,129.198189,115.73373775,147.80635475,32.072616999999994,73.827538,197.730713
A-n33-k5,efg-high,first,elapsed_time_seconds,30,0.7158679666666666,0.0846315661149421,0.7010339999999999,0.66453125,0.77503775,0.11050649999999995,0.507024,0.875042
A-n33-k5,efg-high,random,gap_percent,30,134.90166633333334,31.66973048928817,142.2087785,117.170948,155.2571905,38.08624250000001,76.701965,206.807877
A-n33-k5,efg-high,random,elapsed_time_seconds,30,0.7063007666666666,0.09673917576184742,0.7125345000000001,0.639281,0.76228725,0.12300624999999998,0.504024,0.904044
A-n33-k5,efg-medium,best,gap_percent,30,109.58648583333334,21.404853356166544,110.59001950000001,93.683813,115.35552225,21.671709250000006,70.953102,172.314682
