ivns_time,rank,configuration,ivns_profile,vnd_mode,runs,gap_mean,gap_std,gap_median,gap_q1,gap_q3,gap_min,gap_max,time_mean,time_median
0.05,6,efg-high-best-t0.05,efg-high,best,5,477.108429,26.440910388875142,467.039581,461.962128,484.767639,452.323578,519.449219,0.812803,0.807002
0.25,4,efg-high-first-t0.25,efg-high,first,5,462.7022338,23.463824372475912,461.617889,458.777954,474.354553,427.538727,491.222046,2.6026098,2.58801
0.5,9,efg-high-first-t0.50,efg-high,first,5,483.0636902,39.218857089863036,475.989685,447.848572,505.85199,447.246124,538.38208,5.0386186,5.218018
1.0,3,efg-high-first-t1.00,efg-high,first,5,452.685022,11.411330213066178,455.249542,443.889862,462.908783,437.951813,463.42511,8.9252332,8.784034
1.5,1,efg-high-first-t1.50,efg-high,first,5,443.9586916,18.135440295028012,440.963837,432.185883,459.036163,422.117035,465.49054,14.1994526,14.074052
