run_id,algorithm,instance,seed,known_best,max_iter,kmax,max_no_improve,shake_max_tries,generation_max_tries,vnd_mode,vnd_max_rounds,vnd_max_no_improve,time_limit_seconds,termination_reason,initial_cost,initial_solution_signature,initial_solution_shared_p,initial_solution_source,best_cost,final_cost,gap_percent,iterations,accepted_improvements,invalid_neighbors,no_improvement_neighbors,timeout_neighbors,neighbors_evaluated,generation_tries,elapsed_time_seconds,best_iteration,stagnation_iterations,feasible,status,error,ivns_string_length_avg,ivns_complexity_avg,ivns_max_neighborhood_seconds,ivns_reset_strings_on_improvement,ivns_candidates_per_iteration,ivns_candidate_selection_mode,ivns_exploration_rate,ivns_candidates_generated,ivns_candidates_valid,ivns_candidates_timeout,ivns_candidates_invalid,ivns_candidates_no_improvement,ivns_candidates_selected,ivns_candidate_success_rate,ivns_strings_generated_total,ivns_strings_valid_total,ivns_strings_invalid_total,ivns_strings_evaluated_total,ivns_strings_selected_total,ivns_strings_accepted_total,ivns_unique_strings_total,ivns_reject_too_many_r,ivns_reject_too_short,ivns_reject_too_long,ivns_reject_unbalanced,ivns_reject_missing_required_symbol,ivns_reject_forbidden_expensive_pattern,ivns_reject_semantic_invalid,ivns_reject_duplicated_string,ivns_reject_generation_limit_reached,ivns_reject_unknown,source_path,ivns_profile,variant,ivns_time,configuration,experiment_group
ivns_A-n33-k5_11,ivns,A-n33-k5,11,661,10,2,5,5,50,best,3,2,300,max_iter,1736,"32,29,12,3,25,20,31,7|16,14,2,28,19,21,15|6,17,5,4,8,26,13|24,9,11,1,30,18,23|10,22,27",false,generated_inside_algorithm,1121,1121,69.59153,10,10,0,0,0,10,16,0.203961,10,0,true,ok,,3.8,9.6,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,16,10,6,10,10,10,4,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_12,ivns,A-n33-k5,12,661,10,2,5,5,50,best,3,2,300,max_iter,1678,"12,26,29,3,9,25,28,16,14|32,10,4,8,24,19,5,15|20,22,27,1,6,18,23|11,2,13,17,31|7,30,21",false,generated_inside_algorithm,1124,1124,70.045387,10,10,0,0,0,10,19,0.136975,10,0,true,ok,,3.8,10.1,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,19,10,9,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_13,ivns,A-n33-k5,13,661,10,2,5,5,50,best,3,2,300,max_iter,1834,"26,12,7,5,14,25,1,10,4|32,19,15,24,11,29,18,13|16,28,22,21,27,30|9,8,17,23,3,6|2,20,31",false,generated_inside_algorithm,1059,1059,60.2118,10,10,0,0,0,10,15,0.214961,10,0,true,ok,,4.0,11.4,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,15,10,5,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_14,ivns,A-n33-k5,14,661,10,2,5,5,50,best,3,2,300,max_iter,1780,"26,4,30,28,29,19,18,1,8|32,16,31,14,27,12,10|23,15,13,17,22|3,2,11,6,9,5,21|7,24,25,20",false,generated_inside_algorithm,1177,1177,78.063545,10,10,0,0,0,10,16,0.233957,10,0,true,ok,,3.6,9.4,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,16,10,6,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_15,ivns,A-n33-k5,15,661,10,2,5,5,50,best,3,2,300,max_iter,1915,"24,9,1,5,19,17,15|32,14,16,10,6,29,20,13|26,27,25,2,30,18,11|8,31,23,28,21,12,3|7,22,4",false,generated_inside_algorithm,1057,1057,59.909229,10,10,0,0,0,10,23,0.360932,10,0,true,ok,,3.8,11.4,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,23,10,13,10,10,10,7,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_16,ivns,A-n33-k5,16,661,10,2,5,5,50,best,3,2,300,max_iter,1838,"32,12,25,16,2,11,26,27,21|23,14,10,17,29,18,8|1,7,30,9,20,3,24|13,19,4,6,5,31|15,28,22",false,generated_inside_algorithm,1088,1088,64.599091,10,10,0,0,0,10,13,0.332939,10,0,true,ok,,4.1,12.0,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,13,10,3,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_17,ivns,A-n33-k5,17,661,10,2,5,5,50,best,3,2,300,max_iter,1933,"11,26,21,10,12,28,4,1,9,32|5,19,7,14,15,16,30|3,20,25,27,6,29,18|24,31,2,13,8|17,23,22",false,generated_inside_algorithm,1013,1013,53.252647,10,10,0,0,0,10,17,0.455915,10,0,true,ok,,3.9,11.5,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,17,10,7,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_18,ivns,A-n33-k5,18,661,10,2,5,5,50,best,3,2,300,max_iter,1876,"26,23,14,13,2,19,5,11|8,32,12,22,15,6,16,24|1,9,3,4,10,17|20,29,7,27,31,21|30,28,25,18",false,generated_inside_algorithm,999,999,51.134647,10,10,0,0,0,10,12,0.197962,10,0,true,ok,,4.2,11.6,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,12,10,2,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_19,ivns,A-n33-k5,19,661,10,2,5,5,50,best,3,2,300,max_iter,1872,"14,20,8,31,28,23,16,5,26|32,4,18,7,22,11,25,19|1,29,12,24,15,17,27|6,9,2,3,13|21,30,10",false,generated_inside_algorithm,1119,1119,69.288956,10,10,0,0,0,10,13,0.191965,10,0,true,ok,,3.9,10.5,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,13,10,3,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_20,ivns,A-n33-k5,20,661,10,2,5,5,50,best,3,2,300,max_iter,1774,"18,14,19,16,26,24,20,21,25,11|32,1,3,29,5,6,22,2|12,8,30,9,27,10|28,13,23,4,15|31,7,17",false,generated_inside_algorithm,992,992,50.075645,10,10,0,0,0,10,17,0.315943,10,0,true,ok,,4.3,12.5,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,17,10,7,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_21,ivns,A-n33-k5,21,661,10,2,5,5,50,best,3,2,300,max_iter,1791,"32,12,11,13,8,10,3,18,26|9,29,21,15,4,22,23|16,6,19,30,1,27,5|14,17,7,2,20,28|25,24,31",false,generated_inside_algorithm,1045,1045,58.0938,10,10,0,0,0,10,14,0.240955,10,0,true,ok,,4.0,11.3,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,14,10,4,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_22,ivns,A-n33-k5,22,661,10,2,5,5,50,best,3,2,300,max_iter,1724,"11,26,8,9,19,6,17,20|13,27,16,24,14,10|28,3,7,5,21,15,25|29,23,18,4,2,30,12|1,31,22,32",false,generated_inside_algorithm,1119,1119,69.288956,10,10,0,0,0,10,12,0.348934,10,0,true,ok,,3.9,12.1,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,12,10,2,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_23,ivns,A-n33-k5,23,661,10,2,5,5,50,best,3,2,300,max_iter,1856,"26,11,8,21,29,17,12,19,3,32|13,7,20,14,18,9,16|23,4,27,30,24,28|6,15,1,5,31,2|25,22,10",false,generated_inside_algorithm,1058,1058,60.060513,10,10,0,0,0,10,23,0.294946,10,0,true,ok,,3.8,10.6,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,23,10,13,10,10,10,5,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_24,ivns,A-n33-k5,24,661,10,2,5,5,50,best,3,2,300,max_iter,1754,"26,16,21,31,20,4,18,30|14,15,10,29,19,23,28|1,12,32,5,7,6,27,3|11,13,17,8,25,2|24,9,22",false,generated_inside_algorithm,1068,1068,61.573376,10,10,0,0,0,10,17,0.304944,10,0,true,ok,,3.7,10.9,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,17,10,7,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_25,ivns,A-n33-k5,25,661,10,2,5,5,50,best,3,2,300,max_iter,1766,"32,7,23,21,29,24,16,26,10|11,3,19,9,17,2|6,22,13,1,25,20,18|14,15,4,30,27,28|8,31,12,5",false,generated_inside_algorithm,1163,1163,75.945541,10,9,1,0,0,9,14,0.390926,10,0,true,ok,,3.9,11.7,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,14,10,4,9,10,9,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_26,ivns,A-n33-k5,26,661,10,2,5,5,50,best,3,2,300,max_iter,1920,"1,14,26,30,16,23,21,20,9,32|25,5,4,18,27,28,8|11,12,29,7,15,24,17|19,22,10,13,31|2,6,3",false,generated_inside_algorithm,1203,1203,81.996971,10,9,0,0,1,9,15,0.368932,10,0,true,ok,,3.8,9.8,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,15,10,5,9,10,9,4,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_27,ivns,A-n33-k5,27,661,10,2,5,5,50,best,3,2,300,max_iter,1798,"26,27,15,7,11,18,30|32,19,4,1,17,5,24,22|12,28,14,13,9,3,29|8,25,10,21,6,16,23|2,31,20",false,generated_inside_algorithm,1089,1089,64.750381,10,10,0,0,0,10,18,0.229957,10,0,true,ok,,4.0,11.1,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,18,10,8,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
ivns_A-n33-k5_28,ivns,A-n33-k5,28,661,10,2,5,5,50,best,3,2,300,max_iter,1937,"1,26,14,10,28,17,31|4,29,2,25,3,11,19,20|32,18,9,15,8,12,21,23|13,30,27,16,5,24|22,6,7",false,generated_inside_algorithm,1106,1106,67.322235,10,10,0,0,0,10,22,0.184966,10,0,true,ok,,3.7,10.0,0.2,True,0,none,0.0,0,0,0,0,0,0,0.0,22,10,12,10,10,10,6,0,0,0,0,0,0,0,0,0,0,/home/olivia3/Proyectos Uni/vrp/results/pruebas-personales/ivns-variants-time-0.20/baseline-best/summary-ivns-baseline-best-time-0.20.csv,baseline,baseline-best,0.2,baseline-best-t0.20,a_time_exploratory
