run_id,algorithm,instance,seed,known_best,max_iter,kmax,max_no_improve,shake_max_tries,generation_max_tries,vnd_mode,vnd_max_rounds,vnd_max_no_improve,time_limit_seconds,termination_reason,initial_cost,initial_solution_signature,initial_solution_shared_p,initial_solution_source,best_cost,final_cost,gap_percent,iterations,accepted_improvements,invalid_neighbors,no_improvement_neighbors,timeout_neighbors,neighbors_evaluated,generation_tries,elapsed_time_seconds,best_iteration,stagnation_iterations,feasible,status,error,ivns_string_length_avg,ivns_complexity_avg,ivns_max_neighborhood_seconds,ivns_reset_strings_on_improvement,ivns_candidates_per_iteration,ivns_candidate_selection_mode,ivns_exploration_rate,ivns_candidates_generated,ivns_candidates_valid,ivns_candidates_timeout,ivns_candidates_invalid,ivns_candidates_no_improvement,ivns_candidates_selected,ivns_candidate_success_rate,ivns_strings_generated_total,ivns_strings_valid_total,ivns_strings_invalid_total,ivns_strings_evaluated_total,ivns_strings_selected_total,ivns_strings_accepted_total,ivns_unique_strings_total,ivns_reject_too_many_r,ivns_reject_too_short,ivns_reject_too_long,ivns_reject_unbalanced,ivns_reject_missing_required_symbol,ivns_reject_forbidden_expensive_pattern,ivns_reject_semantic_invalid,ivns_reject_duplicated_string,ivns_reject_generation_limit_reached,ivns_reject_unknown,ivns_profile,mode_from_file
ivns_A-n65-k9_8,ivns,A-n65-k9,8,1174,10,2,5,5,50,random,3,2,60,max_iter,3631,"26,48,28,32,60,12,47,45,3,14|57,20,13,42,59,8,43|19,35,4,6,50,15,7,38,61,9|21,53,34,31,17|18,49,54,55,24,25|51,27,23,33,39,37,30|40,10,29,41,62,11,2|52,58,63,56,22,36|46,5,16,1,64,44",false,generated_inside_algorithm,3261,3261,177.768311,10,3,0,0,7,3,15,0.716035,9,0,true,ok,,6.700000,21.900000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,15,10,5,3,10,3,8,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_9,ivns,A-n65-k9,9,1174,10,2,5,5,50,random,3,2,60,max_iter,3287,"19,45,61,50,35,18,14,23,7,53,42|26,33,52,56,6,5,39,15,13|51,48,29,62,21,24,55,12|11,16,38,32,59,36,34,31|57,63,28,60,2,46|22,47,58,44,25,1|37,4,10,9,43|49,20,41,27,8,40|30,64,3,17,54",false,generated_inside_algorithm,3106,3106,164.565582,10,1,0,0,9,1,18,0.786037,7,0,true,ok,,7,22.200000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,18,10,8,1,10,1,8,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_10,ivns,A-n65-k9,10,1174,10,2,5,5,50,random,3,2,60,max_iter,4005,"19,48,45,63,50,61,7,21,14,43,32,11|26,22,38,41,52,29,60,1,49|20,34,15,5,36,40|46,35,42,24,59,51,13,27,37|57,56,9,18,25,55|62,6,47,2,54|39,44,17,3,33,8|16,28,12,58,31,10|64,23,4,53,30",false,generated_inside_algorithm,3812,3812,224.701874,10,1,0,0,9,1,17,0.727036,4,0,true,ok,,6.600000,20.200000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,17,10,7,1,10,1,9,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_11,ivns,A-n65-k9,11,1174,10,2,5,5,50,random,3,2,60,max_iter,4056,"19,35,1,22,18,6,50,4,63,51|61,48,11,46,49,32,47,52,26,20,16,21|45,57,39,55,29,30,59,10|42,37,2,64,27,44|13,3,34,28,12,5,40|33,38,23,54,8,58|62,53,31,7,9|15,17,24,41,43|60,56,14,36,25",false,generated_inside_algorithm,3568,3568,203.918213,10,3,0,0,7,3,14,0.713034,9,0,true,ok,,6.300000,20.600000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,14,10,4,3,10,3,9,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_12,ivns,A-n65-k9,12,1174,10,2,5,5,50,random,3,2,60,max_iter,3906,"57,19,39,15,20,27,30,35,22|45,32,11,48,44,54,24,43|46,33,51,10,4,55,47,28|26,21,1,18,61,25,34,41,12,38|52,40,42,37,58,14,13,36|16,49,5,63,3,50,7|29,53,31,8,62|64,23,59,9,56|17,2,60,6",false,generated_inside_algorithm,3582,3582,205.110748,10,2,0,0,8,2,12,0.684033,9,0,true,ok,,6,19.400000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,12,10,2,2,10,2,9,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_13,ivns,A-n65-k9,13,1174,10,2,5,5,50,random,3,2,60,max_iter,3574,"43,16,42,49,9,59,52|19,26,57,20,18,22,39,5,56,12|50,3,32,10,30,38,4,46,13|27,25,60,37,15,36|48,35,21,23,62,51,14,61,11,17|45,6,29,34,31,54|7,33,63,40,44,47|41,8,53,64,1,28|2,58,55,24",false,generated_inside_algorithm,3458,3458,194.548553,10,1,0,0,9,1,24,0.734036,3,0,true,ok,,6.100000,19.900000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,24,10,14,1,10,1,9,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_14,ivns,A-n65-k9,14,1174,10,2,5,5,50,random,3,2,60,max_iter,3727,"19,11,7,49,6,57,61,53,33,1|45,18,26,16,44,15,35,9,22|5,52,62,17,46,27,3,51|48,41,4,55,24,37,54|32,38,10,60,23,20|39,21,14,34,59,40,63|13,36,58,42,31,50,12|2,56,28,43|64,8,29,30,47,25",false,generated_inside_algorithm,3608,3608,207.325394,10,1,0,0,9,1,12,0.768037,3,0,true,ok,,7.400000,23,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,12,10,2,1,10,1,10,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_15,ivns,A-n65-k9,15,1174,10,2,5,5,50,random,3,2,60,max_iter,4098,"19,32,51,38,49,20,48,61,26,59,53|25,16,11,3,42,43,60|4,56,7,57,52,36,47,50,39|41,55,14,45,35,12,9,22|46,15,29,37,33,58,8|13,31,28,34,21,24|10,44,54,1,63|18,27,23,5,30,40|64,62,17,2,6",false,generated_inside_algorithm,4098,4098,249.063034,10,0,0,0,10,0,11,0.788038,0,0,true,ok,,7.600000,24.400000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,11,10,1,0,10,0,10,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_16,ivns,A-n65-k9,16,1174,10,2,5,5,50,random,3,2,60,max_iter,4031,"48,26,32,4,6,13,50,39,63,58|46,21,19,47,44,37,54,51|11,52,34,29,55,62,53|45,5,9,31,12,22,36|38,59,61,25,30,28,8|15,35,60,3,2,24|64,42,18,57,14,49,23,27|33,43,1,16,10,7,41|56,17,40,20",false,generated_inside_algorithm,4031,4031,243.356033,10,0,0,0,10,0,23,0.833041,0,0,true,ok,,7.900000,25,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,23,10,13,0,10,0,10,0,0,0,0,0,0,0,0,0,0,efg-high,random
ivns_A-n65-k9_17,ivns,A-n65-k9,17,1174,10,2,5,5,50,random,3,2,60,max_iter,3775,"16,28,26,9,51,45,55,3|61,57,39,35,13,8,49,25,42,24|19,11,37,7,6,18,23,54,48|5,62,59,17,40,2|38,41,56,50,52,63,27|32,33,47,30,31,21,29|43,58,4,36,46,64,22|53,14,15,34,10,12|44,1,20,60",false,generated_inside_algorithm,3775,3775,221.550247,10,0,0,0,10,0,14,0.843039,0,0,true,ok,,7.900000,24.300000,0.050000,true,0,none,0.000000,0,0,0,0,0,0,0.000000,14,10,4,0,10,0,10,0,0,0,0,0,0,0,0,0,0,efg-high,random
